time[s],PITCH[deg],YAW[deg],ROLL[deg]
0,83.125,0.1525822,-3.03719
1,82.78689,0.17723,-3.450413
2,82.11066,0.2183099,-4.524794
3,78.72951,0.4730047,-5.53719
4,76.3627,0.6455399,-6.818182
5,73.9959,0.9988263,-6.033058
6,71.85451,1.007042,-5.475206
7,70.61475,0.9495305,-2.5
8,70.16393,0.9330986,-1.983471
9,67.68443,0.7769953,0.4752066
10,66.89549,0.7194836,1.260331
11,66.44467,0.4647887,1.96281
12,65.31762,0.2922535,2.066116
13,64.19057,4.69E-03,2.169421
14,63.62705,-0.1760563,2.210744
15,62.72541,-0.5622066,2.14876
16,61.59836,-0.5950704,2.045455
17,60.69672,-0.7183099,1.942149
18,60.1332,-0.7429578,1.859504
19,59.45697,-0.8251173,1.900826
20,59.00615,-0.899061,1.900826
21,58.21721,-0.9894366,1.880165
22,57.76639,-1.10446,1.818182
23,56.75205,-1.178404,1.570248
24,56.30123,-1.178404,1.115703
25,55.96312,-1.170188,8.26E-02
26,55.96312,-1.235916,-0.5578513
27,55.96312,-1.252347,-1.157025
28,56.07582,-1.244131,-1.61157
29,55.96312,-0.8086854,-1.673554
30,55.85041,-0.7511737,-1.838843
31,55.96312,-0.5868545,-1.838843
32,55.51229,-0.3321596,-1.694215
33,55.625,0.2347418,-0.9504132
34,55.625,0.6373239,-0.5578513
35,55.625,0.7769953,0.268595
36,55.28688,0.8838028,1.033058
37,54.61066,0.7030516,1.219008
38,54.15984,0.5140845,1.115703
39,53.3709,0.407277,0.661157
40,53.03279,0.3908451,0.392562
41,52.69467,-3.64E-02,-0.3512397
42,51.68033,0.0129108,-0.9297521
43,51.22951,8.69E-02,-1.157025
44,50.66599,0.1032864,-1.239669
45,49.76434,0.5387324,-1.260331
46,49.20082,0.8098592,-0.5785124
47,48.52459,0.7030516,-0.4545455
48,47.84836,0.6455399,-0.1859504
49,47.73566,0.5305164,0.4958678
50,46.83401,0.399061,1.095041
51,46.04508,0.1690141,0.9297521
52,45.81967,-0.1678404,0.2272727
53,45.93238,-0.3403756,-0.3719008
