time[s],thrust vac[N],nozzle_exhaust_pressure[Pa]
0,1875897,211731
1,3852224,4320458
2,3848637,5178827
3,3862984,5144492
4,3834290,5133047
5,3848637,5144492
6,3859398,5190272
7,3827116,5133047
8,3812769,5104435
9,3812769,5081545
10,3812769,5087268
11,3827116,5098713
12,3827116,5121603
13,3819943,5121603
14,3841464,5121603
15,3845050,5121603
16,3834290,5110158
17,3805596,5087268
18,3809182,5064378
19,3776901,5052933
20,3776901,5047211
21,3769728,5018598
22,3769728,5007153
23,3748207,4972819
24,3733860,4949929
25,3733860,4949929
26,3719512,4938484
27,3701578,4921316
28,3705165,4915594
29,3683644,4904149
30,3669297,4869814
31,3640603,4835480
32,3633429,4812590
33,3611908,4783977
34,3583214,4738198
35,3540172,4675251
36,3504304,4629471
37,3468436,4583691
38,3446915,4560801
39,3418221,4503577
40,3403874,4492132
41,3389527,4457797
42,3382353,4434907
43,3375179,4434907
44,3353659,4412017
45,3360832,4412017
46,3353659,4389128
47,3339311,4383405
48,3210187,4177396
49,2625538,3553648
50,2030129,2735336
51,1710904,2243205
52,1488522,1951359
53,1319943,1733906
54,1172884,1522175
55,1050933,1384836
56,925394.6,1230329
57,824964.1,1121602
58,753228.1,995708.1
59,649210.9,909871.3
60,581061.7,829756.8
61,534433.3,732474.9
62,484218.1,669527.9
63,426829.3,600858.4
64,383787.7,543633.8
65,347919.7,492131.6
66,319225.3,452074.4
67,276183.7,417739.6
68,254662.8,366237.5
69,211621.2,337625.2
70,204447.6,314735.3
71,179340,268955.7
72,168579.6,251788.3
73,154232.4,223176
74,132711.6,200286.1
75,118364.4,188841.2
76,107604,177396.3
77,89670.02,177396.3
78,86083.21,154506.4
79,82496.41,143061.5
80,75322.81,131616.6
81,68149.21,120171.7
82,53802.01,108726.8
83,53802.01,97281.83
84,53802.01,91559.37
85,25107.6,85836.91
86,53802.01,74391.99
87,35868,74391.99
88,32281.21,74391.99
89,32281.21,74391.99
90,14347.2,62947.07
91,32281.21,51502.14
92,17934,51502.14
93,3586.801,45779.68
94,3586.801,45779.68
95,7173.601,45779.68
96,14347.2,40057.22
97,3586.801,57224.61
98,3586.801,28612.3
99,3586.801,28612.3
100,3586.801,28612.3
101,3586.801,28612.3
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
