time[s],thrust vac[N],nozzle_exhaust_pressure[Pa]
0,135193.1,269727.4
1,279327.6,4424677
2,278254.7,5153515
3,277897,5142038
4,276466.4,5124821
5,275751.1,5107604
6,275035.8,5078910
7,274678.1,5067432
8,275035.8,5067432
9,275035.8,5078910
10,277181.7,5078910
11,278254.7,5067432
12,277897,5067432
13,273962.8,5015782
14,270028.6,4929699
15,267167.4,4832138
16,262875.5,4769010
17,261444.9,4717360
18,261444.9,4677188
19,262160.2,4665710
20,265021.5,4682927
21,267882.7,4723099
22,270028.6,4757533
23,273605.2,4780488
24,276466.4,4826399
25,280400.6,4883788
26,283619.5,4929699
27,288269,4998566
28,292918.5,5044477
29,295779.7,5113343
30,300786.8,5153515
31,304005.7,5187949
32,307939.9,5256815
33,306151.7,5302726
34,285407.7,5021521
35,276466.4,4757533
36,277539.3,4694405
37,276466.4,4688666
38,277897,4677188
39,278612.3,4688666
40,279685.3,4677188
41,280758.2,4688666
42,281473.5,4717360
43,283619.5,4734577
44,285407.7,4746055
45,287196,4769010
46,288626.6,4780488
47,290772.5,4791966
48,292918.5,4814921
49,295779.7,4832138
50,297210.3,4860832
51,298640.9,4883788
52,300071.5,4883788
53,301502.2,4906743
54,303290.4,4918221
55,305078.7,4923960
56,307224.6,4946916
57,308297.6,4952654
58,310085.8,4964132
59,310801.2,4987088
60,313304.7,4998566
61,315093,5010043
62,316523.6,5027260
63,318669.5,5032999
64,319384.8,5044477
65,320100.2,5044477
66,322246.1,5067432
67,322246.1,5078910
68,324392,5078910
69,324749.7,5084649
70,326537.9,5090388
71,327253.2,5101865
72,329399.2,5107604
73,330114.4,5136299
74,330829.8,5113343
75,331545.1,5113343
76,333333.3,5124821
77,333691,5113343
78,334048.7,5124821
79,335121.6,5124821
80,336194.6,5113343
81,336552.2,5136299
82,337982.8,5136299
83,338698.1,5136299
84,338698.1,5124821
85,339771.1,5136299
86,340128.8,5119082
87,340486.4,5113343
88,340486.4,5101865
89,340128.8,5101865
90,340844.1,5090388
91,340844.1,5084649
92,340128.8,5078910
93,340486.4,5044477
94,340128.8,5055954
95,338698.1,5021521
96,339413.4,4998566
97,333691,4941177
98,303648.1,4642755
99,243204.6,3690101
100,188125.9,2840746
101,149856.9,2163558
102,91201.72,1239598
103,40414.88,539454.8
104,16094.42,195122
105,8226.037,74605.45
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
