time(s),mass(kg),thrust(N),lat(deg),lon(deg),altitude(m),pos_ECI_X(m),pos_ECI_Y(m),pos_ECI_Z(m),vel_ECI_X(m/s),vel_ECI_Y(m/s),vel_ECI_Z(m/s),vel_NED_X(m/s),vel_NED_Y(m/s),vel_NED_Z(m/s),acc_ECI_X(m/s2),acc_ECI_Y(m/s2),acc_ECI_Z(m/s2),acc_Body_X(m/s),acc_Body_Y(m/s),acc_Body_Z(m/s),Isp(s),Mach number,attitude_azimth(deg),attitude_elevation(deg),attack of angle alpha(deg),attack of angle beta(deg),all attack of angle gamma(deg),dynamic pressure(Pa),airforce_Body_X[N],airforce_Body_Y[N],airforce_Body_Z[N],thrust_Body_X[N],thrust_Body_Y[N],thrust_Body_Z[N],gimbal_angle_pitch(deg),gimbal_angle_yaw(deg),wind speed(m/s),wind direction(deg),downrange(m),IIP_lat(deg),IIP_lon(deg),dcmBODY2ECI_11,dcmBODY2ECI_12,dcmBODY2ECI_13,dcmBODY2ECI_21,dcmBODY2ECI_22,dcmBODY2ECI_23,dcmBODY2ECI_31,dcmBODY2ECI_32,dcmBODY2ECI_33,inertial velocity(m/s),kinematic_energy_NED(J),loss_gravity(m/s2),loss_aerodynamics(m/s2),loss_thrust(m/s2),is_powered(1=powered 0=free),is_separated(1=already 0=still)
213,14100,135193,31.059987,135.08136,191837.47,-4050005.1,3914968.3,3370568.2,-3150.5986,-1987.2591,215.51758,-271.50543,3207.7904,-868.51334,-0.43732177,-12.73327,-6.2169871,9.5881631,-6.8580697e-12,-6.8562933e-12,302,12.270117,95.566667,-7.602459,-22.569289,-0.80905567,22.581006,1.271698e-07,-9.6682804e-08,-9.6682804e-08,-9.6682804e-08,135193.1,0,0,0,0,30,90,382160.35,29.923948,145.15686,-0.63984414,-0.30178417,0.70677139,-0.7535994,0.42663854,-0.50006749,-0.15062346,-0.85258775,-0.50040654,3731,7.8381546e+10,2.4095771,6.8569364e-12,2.329366e-13,1,0,
214,14030.018,279327.6,31.057599,135.11405,192701.5,-4053157,3912973.3,3370780.4,-3154.3221,-2003.8761,208.53301,-274.08141,3221.6977,-859.32352,-7.0232921,-20.523019,-7.7530746,19.909284,-5.9232619e-12,-5.923706e-12,302,12.311149,95.509155,-7.602459,-22.35656,-0.7226848,22.366036,1.0932325e-07,-8.3114685e-08,-8.3114685e-08,-8.3114685e-08,279327.6,0,0,0,0,30,90,385293.69,29.915815,145.20201,-0.63905372,-0.30276294,0.70706785,-0.75443923,0.42573553,-0.49957053,-0.14977246,-0.85269213,-0.50048411,3742,7.8518246e+10,2.3754677,5.9240613e-12,1.9990671e-13,1,0,
215,13935.883,278254.7,31.055187,135.14691,193555.91,-4056314.9,3910959.2,3370985.1,-3161.3781,-2024.4131,200.81664,-277.13379,3240.7477,-849.50595,-7.0887718,-20.550943,-7.6795708,19.96678,-5.1501026e-12,-5.1509907e-12,302,12.370017,95.369484,-7.377049,-21.887486,-0.54911382,21.893125,9.4416622e-08,-7.1781693e-08,-7.1781693e-08,-7.1781693e-08,278254.7,0,0,0,0,30,90,388443.62,29.905665,145.25974,-0.64060477,-0.30478243,0.70479302,-0.75391375,0.42385056,-0.50196091,-0.14573805,-0.8529117,-0.50130035,3759,7.8744074e+10,2.3364774,5.1508537e-12,1.7216451e-13,1,0,
216,13841.989,277897,31.052748,135.17996,194400.51,-4059479.8,3908924.5,3371182,-3168.4458,-2045.048,193.12336,-280.15532,3259.8845,-839.68154,-7.0464362,-20.719113,-7.7070387,20.076378,-4.4857451e-12,-4.4908521e-12,302,12.429398,95.21338,-7.715164,-21.983887,-0.36162978,21.986318,8.1691831e-08,-6.2107475e-08,-6.2107475e-08,-6.2107475e-08,277897,0,0,0,0,30,90,391611.86,29.895638,145.31751,-0.63511185,-0.3070067,0.70878758,-0.75842174,0.42176295,-0.49690288,-0.14638783,-0.85314882,-0.5007072,3776,7.8971308e+10,2.2977651,4.4868894e-12,1.4854232e-13,1,0,
217,13748.397,276466.4,31.050283,135.21319,195235.29,-4062651.8,3906869.1,3371371.3,-3175.5676,-2065.7301,185.46062,-283.17378,3279.1008,-829.91088,-7.197063,-20.644765,-7.6183754,20.108991,-3.9159787e-12,-3.9133141e-12,302,12.489327,95.238028,-7.151639,-21.181832,-0.36093759,21.184383,7.0811987e-08,-5.3835905e-08,-5.3835905e-08,-5.3835905e-08,276466.4,0,0,0,0,30,90,394798.52,29.885617,145.37557,-0.6416867,-0.30694409,0.70286805,-0.75374127,0.42183171,-0.50391677,-0.14181776,-0.85313735,-0.50204022,3792,7.9200678e+10,2.2594898,3.9157949e-12,1.2839465e-13,1,0,
218,13655.168,275751.1,31.047792,135.24662,196060.39,-4065831,3904793.1,3371552.9,-3182.8756,-2086.3011,177.68198,-286.42044,3298.374,-820.29419,-7.4181166,-20.496088,-7.9392839,20.1939,-3.424816e-12,-3.4230396e-12,302,12.549876,96.412911,-6.926229,-20.72663,-1.5517496,20.775153,6.1493097e-08,-4.6751075e-08,-4.6751075e-08,-4.6751075e-08,275751.1,0,0,0,0,30,90,398003.64,29.874915,145.43426,-0.65005071,-0.29228976,0.70142766,-0.74345536,0.43557385,-0.5074934,-0.15718843,-0.8513766,-0.50044948,3809,7.9433412e+10,2.2219083,3.4236909e-12,1.1117848e-13,1,0,
219,13562.18,275035.8,31.045271,135.28024,196875.9,-4069017.6,3902696.5,3371726.6,-3190.317,-2106.8284,169.73185,-289.89944,3317.7159,-810.73069,-7.4647944,-20.558609,-7.961031,20.279615,-2.9980463e-12,-3.0011549e-12,302,12.610994,96.445775,-6.926229,-20.495274,-1.5530342,20.544624,5.3496519e-08,-4.0671554e-08,-4.0671554e-08,-4.0671554e-08,275035.8,0,0,0,0,30,90,401227.32,29.863594,145.49314,-0.64972158,-0.29213156,0.70179842,-0.74364082,0.43574343,-0.50707593,-0.15767117,-0.85134412,-0.50035286,3826,7.9668077e+10,2.1847528,2.9988949e-12,9.6442317e-14,1,0,
220,13469.374,274678.1,31.042719,135.31405,197681.85,-4072211.6,3900579.4,3371892.4,-3197.8071,-2127.4385,161.77749,-293.39094,3337.159,-801.17954,-7.515557,-20.661835,-7.9476679,20.392789,-2.6325608e-12,-2.6305624e-12,302,12.672692,96.347183,-6.926229,-20.265224,-1.4182863,20.307022,4.6623239e-08,-3.5446037e-08,-3.5446037e-08,-3.5446037e-08,274678.1,0,0,0,0,30,90,404469.64,29.852264,145.55219,-0.64872276,-0.29364731,0.70208976,-0.74481927,0.43435687,-0.50653565,-0.15621468,-0.85153119,-0.50049136,3844,7.9904347e+10,2.1479111,2.6316025e-12,8.3808405e-14,1,0,
221,13376.567,275035.8,31.040138,135.34806,198478.25,-4075413.2,3898441.6,3372050.2,-3205.2995,-2148.2475,153.92037,-296.74961,3356.7551,-791.59596,-7.4684033,-20.956302,-7.7660549,20.561015,-2.314593e-12,-2.3117064e-12,302,12.735067,95.533803,-7.151639,-20.259428,-0.54638833,20.265639,4.0706495e-08,-3.0947741e-08,-3.0947741e-08,-3.0947741e-08,275035.8,0,0,0,0,30,90,407730.72,29.841329,145.61139,-0.64124006,-0.30421665,0.70445966,-0.75328855,0.42445496,-0.50238864,-0.1461764,-0.85281312,-0.50134044,3861,8.0142286e+10,2.1112474,2.3135787e-12,7.296034e-14,1,0,
222,13283.7,275035.8,31.037529,135.38226,199265.04,-4078622.3,3896282.8,3372200.2,-3212.8386,-2169.2356,146.15745,-300.00204,3376.521,-782.01822,-7.6102468,-21.020083,-7.7597523,20.704758,-2.0392577e-12,-2.0363711e-12,302,12.798218,95.583099,-6.926229,-19.807715,-0.57009842,19.814684,3.5605593e-08,-2.7069701e-08,-2.7069701e-08,-2.7069701e-08,275035.8,0,0,0,0,30,90,411010.72,29.830687,145.67096,-0.64375819,-0.30385022,0.7023179,-0.75137941,0.42481378,-0.50493785,-0.14492885,-0.85276509,-0.50178415,3879,8.0382644e+10,2.0748504,2.0378134e-12,6.3631245e-14,1,0,
